song,album,lyrics
Better Know Bout Us,Unknown,"Ayy Most Dope I love y'all, for real Together we stand and divided we fall Stick to the plan and never get it at all (Aha) And we grindin', so we shinin' They better know 'bout us by now (Hey) Together we stand and divided we fall Stick to the plan and never get it at all And we grindin', so we shinin' They better know 'bout us by now (Uh) And this one to the homies that been with me through the thick and thin We 'bout the same shit, just some synonyms And we grew up in the city that we livin' in Now we travel, tryna see the world from its different ends We was some young boys, tryna hustle kids up in the middle school Stuck in detention, writin' letters to our principal And now the world gettin' real Real and we try and do this shit without a deal Don't ever want to go a single day without a meal Meal 'cause we hungry, out to get a mill' like steel When there's a will, there's a way If this rappin' don't work, then we still gettin' paid Just watch my back like always And tell me if it's one of my off days Keep me hazed up, you know, the same stuff Just more money, makin' less part-ays And these other teams soft like parfaits While we racin' to the finish like a car chase Dodgin' obstacles, together we can conquer the impossibles Why these hoes spyin'? We call 'em Kim Possibles Couple of my boys was just hostel TreeJay was off that syrup by the waffle Wow, we thought we had it all Glass half whatever, I don't give a fuck 'cause I'm still in high school Together we stand and divided we fall Stick to the plan and never get it at all And we grindin', so we shinin' They better know 'bout us by now Together we stand and divided we fall Stick to the plan and never get it at all (At all) And we grindin', so we shinin' They better know 'bout us by now We like the knights of the round table Here to rock the cradle My records gettin' spun like dreidels And ain't nobody fuckin' with the dream team Imagine that, I keep it in my circle like a key ring Y'all some bee stings, chicken six-piece wing that I'm eating Beat me? You must be dreaming See, in this life, it seems all pretend Get fucked up, go and grab a bottle of some Hen' We drink it and we drink it 'til we fallin' on the bed Go to sleep, wake up, and do it all again If a girl try and play me, my homies let me know You got to watch closely with these hoes 'Cause some is keepers, and some ain't Always a bitch's birthday, she want cake Dudes want to be down with my team but it's too late 'Cause now I got my peoples and we straight Together we stand and divided we fall Stick to the plan and never get it at all (At all) And we grindin', so we shinin' They better know 'bout us by now Together we stand and divided we fall Stick to the plan and never get it at all (At all) And we grindin' (Grindin'), so we shinin' (Shinin') They better know 'bout us by now Yeah This one goes out to My people that's been there since the beginnin' (Haha) TreeJay, Q, Jerm, Big Will, Guiger, Tip, Real, Beedie Franchise, Vintage Radio, Jev the Ghost, Joshington, Sheffy Outside of all my rap homies, man Sweet James (Rick), just my real friends (Ayy, Dave) You know who you are (Haha) (Hey) And we grindin', and we shinin' They better know 'bout us by now"
Be Yourself,Unknown,"Don't stay behind (Don't stay behind) 'Cause love is nothin' easy Come on, just in time I know someone somewhere needs me So when we get around to it I hope you're ready, ooh, I hope you're ready For when we get down to it Get down, get down, get down, get down Don't, don't miss out on love Don't think about all the things that could happen Nothin' really ever mattered but us, yep Times gets tough and lines get crossеd, like fingers when wе lyin', so All I know's look out below Not too shallow to dive in your skin (Skin), so thin (So thin), mm Carefully, I swim, but it feels so good when I'm all the way in Nothin' else that I felt makes sense, yep Don't ever in your goddamn life Blink and miss the chance to see this shit go right, go right Don't stay behind (Don't stay behind) 'Cause love is nothin' easy Come on, just in time I know someone somewhere needs me So when we get around to it (Get around to it) I hope you're ready, ooh, I hope you're ready For when we get down to it (We get down to it) Get down, get down, get down, get down Yep, you the whole dream and I proceed You can know me, make our own team, I will never be lonely Ain't a need for nothin' but us Lovin' just how we function, so what's the rush? End up where you're goin' How's your schedule? Can you keep it open? I need you more than I need the moment You shine, you golden, you deep as the ocean Oh, and your skin (Skin) so thin (So thin) If you don't mind, I'll jump right in In all my years, I ain't never know Intellect that connect like a telephone So no, don't you ever in your goddamn life Worry you ain't gonna be alright, alright Don't stay behind (Don't stay behind) 'Cause love is nothin' easy Come on, just in time I know someone somewhere needs me So when we get around to it (Get around to it) I hope you're ready, ooh, I hope you're ready For when we get down to it (We get down to it) Get down, get down, get down, get down You see the look in my eyes, it never change I traveled around the world, but only use half my brain This light illuminatin' the night, they throwin' shade I barely became awake, I rarely got any space for the bullshit So leave me be and be yourself Shinin' my trophies, they on the shelf You know who I am, see what I've done I already got plenty, go get you one"
Big Ass Knockers,Unknown,"Ayy, ayy Ayo, ridin' by myself with my subs on blast Rollin' up and facin' out a puff-puff-pass Got a trunk full of new clothes, pocket full of cash She a girl with no booty, throw McDonald's on that ass We out for one thing and one thing only Fill the truck up with some women, one for every single homie When they see me buyin' bottles, they say, ""Holy guacamole, how old is he? This seems fishy,"" then they stop, and I throw cheese No peas, but my engine already runnin' I'm tellin' 'em that it's nothin', she yellin' now that she laughin' Tryna push me, I ain't budgin' though, headin' to another show Duffel bag with me and I fill it with a bunch of dough and pass it to my team Eatin' five-star cuisine, yes, our lives are a dream So decide if you might be apart of big things that we doin' every day Got these bitches on my dick, so I give 'em lemonade, ayy And my speakers go boom, speakers-speakers go boom Yeah, my speakers go boom, speakers-speakers go boom Yeah, my speakers go boom, speakers-speakers go boom Yeah, my speakers go boom, speakers-speakers go boom And my speakers go boom, speakers-speakers go boom (Ridin' through the city, you can hear me down the street) Yeah, my speakers go boom, speakers-speakers go boom (Shake the ground around your feet, how it's sound? Fuckin' sweet) Yeah, my speakers go boom, speakers-speakers go boom (Haha; How's it sound? Fuckin' sweet) Yeah, my speakers go boom, speakers-speakers go boom (Ayy, ayy; How's it sound? Fuckin' sweet) Yeah, I got a car, but I'd like to be a collector Different sets of keys I'm compilin' on my dresser Makin' all this money, I don't even need a dress shirt I could make a million in a sweatshirt She want it, then I'll bless her, we can be the preachers Yeah, you doin' shows, but you do 'em for way cheaper You need her, I freak her and leave her Have me like, ""Hot damn,"" how they offerin' the beaver I'm up first, you repeat I cook it, you preheat I'm pro league, you D3 I'm one year, you three weeks That's why you with your girl, waitin' in line to meet me Just to say, ""What's up?"" and pass my homie off your CD Completely I'm eating every time I'm speaking I'm gaining all this money while your bank account decreasing I go to shows, get some clothes and other free things Living like me? Homie, you must be dreaming (Homie, you must be dreaming) And my speakers go boom, speakers-speakers go boom Yeah, my speakers go boom, speakers-speakers go boom Yeah, my speakers go boom, speakers-speakers go boom Yeah, my speakers go boom, speakers-speakers go boom And my speakers go boom, speakers-speakers go boom (Ridin' through the city, you can hear me down the street) Yeah, my speakers go boom, speakers-speakers go boom (Shake the ground around your feet, how it's sound? Fuckin' sweet) Yeah, my speakers go boom, speakers-speakers go boom (How's it sound? Fuckin' sweet) Yeah, my speakers go boom, speakers-speakers go boom (How's it sound? Fuckin' sweet) Haha, ayy That girl right there got some big-ass knockers, haha Yes"
BigBoyTV Freestyle,Unknown,"If only you guys knew what just happened in here Yeah, yeah, yeah, yeah Can you turn the beat up a little bit, yeah Turn my headphones up Yeah, yeah, yeah Well who is he? I be ze meanest, putting Jesus pieces on a fetus The Lord taketh, then he keepeth one of many masterpieces I'm rolling up the weed and feasting on gravidas Your bitch a junkie, always sucking on somebody's penis Ooh, I'm eating General Tso's chicken off the fine china I put my dick inside your bitch and say the ""Our Father"" Young Moses part water Head wraps car bomber Death trap dark slider Jump on motherfucker, got ya, once I dropped ya Who's hot? I moonwalk the jungle gym Do not try to stop cause you not gon' fuck with him I'm rumbling with countrymen, do it for the USA First you get the money, then the fame, then you get paid Ali Bomaye, come with superhuman strength All this for the music's sake, but I'm getting stupid paid Get ahead or lose a leg Never did the funeral fake To be great you await Everybody let's eat cake D-dumbass And you don't, and you don't, and you don't And you don't, and you don't, and you don't And you don't, and you don't, and you don't And you don't, and you don't, and you don't stop I'm sipping liquor 'til my liver pop And playing tennis with cinder blocks, I'm in the spot Chilling with some nympho THOTs, landed on the Planet Rock Man of God, hammerhead shark in human camoflauge Duck down I'm on, understand the planet's strong Lead singer came with Keith Richards, brought the band along I'm pretty Zen lady, headspin is 1080 They say that I went crazy but love me when the check cleared Red beard, seen into the future, fear the end near Bitch I want it all, I will not give you not a cent here This is not pretend, I'm trying to pay some pricy rent here It's no words, selling Goldberg and you gon' get speared Do the most, I'm the host and the special guest here It's a fucking party started, everybody get weird Take your pants off, move your body, you can dance around I got you shitting in your pants, you wearing Pampers now Mean flow, hitting free throws, shoot 'em granny style Came a long way from rocking hand-me-downs, fr-fr-fresh I said the world is just a big gazebo, so baby let's get married in it And you don't, and you don't, and you don't And you don't, and you don't, and you don't And you don't, and you don't, and you don't And you don't, and you don't, and you don't stop Morning Mr. McCormick, Mr. Should've-Been-Aborted Mr. Mighty-Morphin'-Sperm, the Michael Jordan's Nike fortune Money make me feel important like some type of vital organ Rich people give poor advice, never could afford it Walk into the jewelry store Spend all my money, fuck did I do this for? Pussy on my mustache Never clean it up cause I'm a dumbass"
Bird Call,"{'api_path': '/albums/1050782', 'cover_art_url': 'https://images.genius.com/4ce4562eae3f8511ee41f45671a7e9f1.1000x1000x1.png', 'full_title': 'Watching Movies with the Sound Off (10th Anniversary) by Mac Miller', 'id': 1050782, 'name': 'Watching Movies with the Sound Off (10th Anniversary)', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'June 23, 2023', 'url': 'https://genius.com/albums/Mac-miller/Watching-movies-with-the-sound-off-10th-anniversary', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Quack, quack Uh Uh-huh Uhh I'm chillin' for an hour, smokin' weed, watchin' Worldstar Benz in the garage, pro'bly gotta drive your girl car (Ooh) You ain't a rapper if my homies never heard y'all I just spit a punchline, smile then they bird call (Brr) Hit your sister in the face with a Nerf Ball (Ouch) Dealin' with some shit that really don't concern y'all (Nah) Punch a fan if he get a fuckin' word wrong Wavy, givin' you some shit that you can surf on (cellphone) Findin' me a bitch I can swerve on (Swerve on) Frank Thomas, homie, 'bout to put the hurt on (Hurt on) Your bitch a night light, in bed she turned on Roll some weed, tell her burn one, burn one Burn one, burn one, burn one, burn one (Burn one) Burn one, burn one, burn one, burn one Burn one, burn one, burn one, burn one Burn one, burn one, burn one, burn one (Yeah) Burn one, burn one, burn, burn, burn one Burn one, burn one, burn, burn, burn one Burn one, burn one, burn, burn, burn one Burn one, burn one, burn, burn, burn one Yeah I used to give a fuck about success Now I just want to see Mila Kunis undress (Yep) Hope she down for butt sex (Yep) it would be a cum fest (Yep) Uh, sorry, that's some shit I had to confess (Uh-huh) Crazy-ass bitch doin' 911 threats Came in the game smokin' Newport Hundreds Now I'm at the top and the crown fit, gold on my outfit Surrounded by this pussy I'ma drown in (Drown in) You got that wet pack, bitch, come and gimme that (Come and gimme that) You know we wanna know where them titties at (Where the titties at?) Got 'em gassed, they be askin' what I'm cookin' wit' Have your little brother ask your moms what a pussy is (Uh) Corruption, stuntin' at the function Your girl pussy smell like Sour Cream & Onion (Ugh) Pay attention, you gon' learn somethin' Roll that weed up, burn one Burn one, burn one, burn one, burn one Burn one, burn one, burn one, burn one (Uh) Burn one, burn one, burn one, burn one Burn one, burn one, burn one, burn one (Woo) Burn one, burn one, burn, burn, burn one Burn one, burn one, burn, burn, burn one Burn one, burn one, burn, burn, burn one Burn one, burn one, burn, burn, burn one (I think I fucked it up again, but whatever)"
Bird Call - Live in London,"{'api_path': '/albums/626102', 'cover_art_url': 'https://images.genius.com/08339be626f73aac73665191efdc032f.1000x1000x1.png', 'full_title': 'Live from London by Mac Miller', 'id': 626102, 'name': 'Live from London', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'June 20, 2013', 'url': 'https://genius.com/albums/Mac-miller/Live-from-london', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Okay Chillin' for an hour, smokin' weed, watchin' Worldstar Benz in the garage, pro'bly gotta drive your girl car You ain't a rapper if my homies never heard y'all I just spit a punchline, smile then they bird call (Brr) Hit your sister in the face with a Nerf Ball Dealin' with some shit that really don't concern y'all Punch a fan if he get a fucking word wrong Wavy, givin' you some shit that you can surf on findin' me a bitch I can swerve on Frank Thomas, homie, 'bout to put the hurt on Your bitch a night light, in bed she turned on I roll some weed, tell her burn one, burn one Okay I used to give a fuck about success Now I just want to see Mila Kunis undress Hope she down for butt sex, it would be a cum fest Uh, sorry, that's some shit I had to confess Crazy-ass bitch doing 911 threats Came in the game smoking Newport Hundreds Now I'm at the top and the crown fit, gold on my outfit Surrounded by the pussy I'ma—Pat You got that wet pack, bitch, come and gimme that You know we wanna know where them titties at Got 'em gassed, they be askin' what I'm cooking wit' Have your little brother ask your moms what a pussy is Corruption, stunting at the function Your girl pussy smell like Sour Cream & Onion Woo, pay attention, you gon' learn somethin' Roll that weed up, and then we burn one On the playground is where I spent most of my days Chilling out, maxing, relaxing all cool And all shooting some b-ball outside of the school When a couple of guys, they were up to no good They started making trouble in my neighborhood I got in one little fight and my mom got scared And said ""You're moving with your auntie and uncle in Bel-Air"" I whistled for a cab and when it came near The license plate said 'Fresh' and it had dice in the mirror If anything I could say that this cab was rare But I thought ""Nah, forget it, yo, Holmes, to Bel-Air!"" Hands up, said put your, said put your motherfucking Hands up, put your motherfucking Hands up, your hands up hands up, hands up, hands up, yo, yo Get 'em up Now get 'em up, motherfucker, put 'em up Keep 'em up, keep 'em up London keep your hands in the air"
Bitches,Unknown,"Yeah Goddamn Aight, it go like Bitches on the table, bitches on the floor Bitches in the window, bitches at the door Bitches in the whip, bitches in the trunk Bitches doin' blow, bitches rollin' blunts Bitches, yeah, bitches Bitches, motherfuckin' bitches Oh, no, this that motherfuckin' raw, do your job Yah trick, yah motherfuckin', y'all kneel down I'm a motherfuckin' god when I enter Boss, I'm the center of attention, nothin' better And it's off with his head, sir, dollar collector Flow so dope, got 'em lost like a temper Know a bunch of bitches who all want to be a Jenner And they suckin' dick tryna network Crazy-ass Bitches, yeah, bitches (I ain't tryna be rude) Bitches, motherfuckin' bitches (Know exactly what you do) Bitches, yeah, bitches (Everybody know a few) Bitches, motherfuckin' bitches (Goin' up, gettin' loose) Yeah, goddamn, I'm the motherfuckin' man Here I am with the dick, turn a bitch to a fan now And she off the pill, pop a Xan now Made me wanna give my mom a grandchild, yeah She was doin' drugs till she ran out Gettin' lit, light a fire on the campground, yeah Never give a bitch a handout When you see me, stand down 'cause I'm comin' for your Bitches, yeah, bitches (I ain't tryna be rude) Bitches, motherfuckin' bitches (Know exactly what you do) Bitches, yeah, bitches (Everybody know a few) Bitches, motherfuckin' bitches (Goin' up, gettin' loose) I'm a motherfuckin' instigator, ballistic nature Bitches get crazy off a sip of Jäger Tellin' me to infiltrate her Wanna get intimate with a stranger Baby, I got dick for acres Motherfuckin' pussy pleasin' innovator Pleasure now, I handle business later Lovin' every single flavor I'm talkin' 'bout Bitches, yeah, bitches Bitches, motherfuckin' bitches"
Bitch I Make That Booty Go,Unknown,"Get the fuck outta my face Byah (Heh) I wake up, rub my eyes, dry vomit on my shirt The light bulb goes off, my conscience is alert My ex-girl hate me and the talkin' never work My demons have no reason and that monster be the worst Who lived this life well? I'm possibly the first Got a saga, back by popular demand, I been a honest man All my life, it's just the real, it ain't the wrong or right You think the bitches wanna fuck you 'cause your songs is nice? Blood stains on my shirt, musta had a awesome night Reincarnate Ray Charles before he lost his sight I'm on the mic like Jordan Nikes, try to sell my soul But the devil broke, he can't afford the price Shootin' pornos, havin' boogie nights You a cookie-cutter motherfucker, pussy type Sometimes I feel so blue, but I'm still lookin' white Shit, I'm just like you, you said you just like who? Well, I bust right through Like a nut when you love life too much in a plush white suit Shine, what the fuck lights do And my wife just like her pussy 'cause she uptight too Bro, this my crib, where I live, who the fuck invite you? I'm a fat bitch addict, love my plus-sized boo I told her roll over that roll over, that's fun time two Don't get it twisted 'cause these bitches' bitches love dykes too I pulled up, pulled out, soon as I cum, I'm through, shit This, is, the hook (Yeah) This, is, the hook (Yeah) This, is (Yeah), the hook (Yeah) This, is, the hook (Yeah) Nobody guardin' this, had it locked up before I started it Retarded shit, kinda like my father but don't Mark a bit You see, I make it then they market it Parked the whip in San Diego, findin' out where Carmen lives These are my hungover thoughts, I'm so ashamed in Notre Dame With a hunched over walk, yeah I like my bitches when they fuck more than talk And have the halos of an angel hidden up in a box This evil is the easel that we paint upon And those divas ain't no divas with no make-up on I'm in the bed, she give me head like, ""What's takin' long?"" I'm like, ""It's hard to finish when this fuckin' Drake is on"" But it's my favorite song, I'm concentrated on the chord change My impure brain, take it all the way, ignore pain ""Why you suck my dick like it's a chore, babe?"" I'ma turn these kids into a short stain I'm too nice, always givin' you what you like You can trust me, I'm like Dudley, I always do right Bitches love me, must be the money, I'm on it tonight Get the action then send her packed on a JetBlue flight And nobody wanna fuck with a legend, I be on my shit On a trip twenty-four seven, if you scared, go to church I'm the God, I'm the Reverend Most Dope be the squad that I'm reppin', shit This, is, the hook (Yeah) This, is, the hook (Yeah) This, is, the hook This, is, the **** Well, get ready (Here comes the bridge) Ooh, I hope you're ready (Here comes the bridge) Ooh, I hope you're ready, ready (Here comes the bridge) I hope you're ready (Here comes the bridge) Let's go I can sing a song if you want me to sing a song (Woo) I can sing a song if you want me to sing a song (Say somethin' mean to 'em, baby) I can sign a song if you want me to sing a song, ooh I can sign a song if you want me to sing a song I can sing a song for ya (Keep goin') If you want me to sing a song, I can sign a song for ya, hey, hey (Woo) If you want me to sing a song, I can sign a song for ya, hey, hey, hey (Woo) If you want me to sing a song, I can sign a song for ya, hey, hey If you want me to sing a song, I can sign a song, you can sign along Yeah This that motherfuckin' real shit Only givin' you that real shit This that motherfuckin' real shit Real shit, this that real shit Real shit, this that real shit Real shit, this that, this that real shit Real shit, this that motherfuckin' real shit That real shit, this that motherfuckin' real shit That real shit that I told you 'bout The real shit, real shit This that motherfuckin' real shit, real shit Are you ready for some real shit? That real shit, this that motherfuckin' real shit, woo"
Black Bush,"{'api_path': '/albums/65985', 'cover_art_url': 'https://images.genius.com/750a8fcd74df6df4d0b1f4778ced759a.1000x1000x1.png', 'full_title': 'Live from Space by Mac Miller', 'id': 65985, 'name': 'Live from Space', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'December 17, 2013', 'url': 'https://genius.com/albums/Mac-miller/Live-from-space', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Tell me what reality is, all of y'all back on my dick Woah, woah I don't get mad about shit, but did you see that ass on that bitch? Woah, woah No, I'm not waitin' in line, you got a little paper? That's fine Woah, woah Find it hard to make up my mind, all of y'all hate when I shine Woah, woah Ooh (Ladies and gentlemen, this is a revolution) Ooh On that black bush, smoke a bunch of Backwoods My mind numb, I'm high as high come I'm somewhat of a fuck up, put it in her guts 'til the cum bust, combustion At the function, drunk and actin' as prophets would When Pac rocked with Suge, smokin' blunts in Hollywood I was a youngin who didn't know shit 'bout nothin' But now I'm twenty-one and I feel like I'm onto somethin' Gettin' emphysema, madder than Ebenezer I'm a king, bitch ( Salads, I get a Caesar ) Pullin' uranium from Mesopotamian rivers I need a bitch that let me fuck, then make me some dinner God made me a sinner, followin' protocol Overall, I'm fuckin' bitches and there's coke involved Watchin' Carl Sagan, wishin' I could talk Jamaican I'm waitin', be prepared for invasion Tell me what reality is, all of y'all back on my dick Woah, woah I don't get mad about shit, but did you see that ass on that bitch? Woah, woah (Woo) No, I'm not waitin' in line, you got a little paper? That's fine Woah, woah Find it hard to make up my mind, all of y'all hate when I shine Woah, woah Ooh Ooh I blow a kiss to the Jehovah's Witness Fuck a corporation, I support local business (That's the right thing to do) And this one goes out to all the hoes and bitches My homies told me, ""Better know your limits"" (Know your limits) I'm so efficient, old tradition with dope prevision (Woah) We smokin' if we here, homie, don't need no permission Variation of avian in the atrium Waitin' for nature's rain to shower y'all with some sense, shit Life gets realer than the press kits Special like Ed is, so someone call the medic 'Cause I lost my mind, I'm off the Richter scale (Richter scale) Don't you worry yourself, baby, this is hell (Woo) Product of a witch's spell, rappers all Chippendale I'm gettin'-gettin' money now, expensive ginger ale (Taste good) Sippin' whiskey with a bitch named Lewinsky (Haha) Told her, ""Give me head and tell everybody"" (Tell everybody, let 'em know)"
Blog Is Hot,"{'api_path': '/albums/623639', 'cover_art_url': 'https://images.genius.com/82a42da42a801608cc89edbc3440a94f.600x600x1.jpg', 'full_title': 'East End Leaks, Volume 1 by East End Empire', 'id': 623639, 'name': 'East End Leaks, Volume 1', 'primary_artist_names': 'East End Empire', 'release_date_for_display': 'June 30, 2009', 'url': 'https://genius.com/albums/East-end-empire/East-end-leaks-volume-1', 'artist': {'api_path': '/artists/2190813', 'header_image_url': 'https://images.genius.com/8eecf84341a331819ffaa817959b6e79.319x319x1.jpg', 'id': 2190813, 'image_url': 'https://images.genius.com/8eecf84341a331819ffaa817959b6e79.319x319x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'East End Empire', 'url': 'https://genius.com/artists/East-end-empire'}, 'primary_artists': [{'api_path': '/artists/2190813', 'header_image_url': 'https://images.genius.com/8eecf84341a331819ffaa817959b6e79.319x319x1.jpg', 'id': 2190813, 'image_url': 'https://images.genius.com/8eecf84341a331819ffaa817959b6e79.319x319x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'East End Empire', 'url': 'https://genius.com/artists/East-end-empire'}]}","Ayy, the blog is hot, Q, haha Uh Everybody love it 'cause we do it with ease Hop up online, get your music for free The blog is hot, it's no longer on the down-low A song tight if it get a lot of downloads Everybody love it 'cause right before a hit drop Already grabbed it off HotNewHipHop Blog is like the shit-talk comin' at your neck 'Cause fake shit comin', well, it doesn't get respect Blogs hit the net like a muhfuckin' typhoon Nobody droppin' dollars on iTunes Websites good to look at like a hot mom RapMullet, AllHipHop.com A lot of hate on HipHopGame Dudes like, ""Damn, white boy is lame"" But it's great 'cause I love hate So listen, fuck-face, I'm givin' news, hip-hop updates You want music and all that fly? You better do it like Motor and blog or die If you searchin', you'll come across Sermon Cuttin' up more than your everyday person And some blogs makin' no noise While others be's puttin' up them two dope boys We all rap and gettin' long cash Puttin' hip-hop on smash Exclusives, pictures, everyone can see me From DC to BC, bio page, read me See the kid rock punchlines, fist pop And my first stop's hip-hop Yeah, I keep the scene fresh, HipHopDX Sometimes I wonder what this music gon' be next V-necks to baggy clothes, blowin' like alamo Check the blogs, you can see the youngin has the flow Balls like cockfights, jaws like dog bites Daily check-up or nah, right? And I see dope, got me three phones, haha I leak tracks like Leak Jones So check how I'm rippin' you, you other cats is pitiful From East Coast to the Midwest, digital Bars like cells and I'm armed well, yeah With new music in my cartel I light a cigarette, checkin' Mr. X, yeah See, this life is just livin' deaf I got splash and low-key heard that new Oh, new Mac Miller? Yeah, I heard that too So if I forgot to say your blog and you showin' love I'm so high, you can blame it on the bud But I love all y'all, man Good luck, everybody Keep puttin' up that free music And post my shit, damn"
Bloody Mary,Unknown,"Yeah, little more beat? Yeah, yeah I, um, woke up early this morning That's very rare But I felt like I haven't slept in a while Yeah Forever invincible with the infinite flow Crackin' the DaVinci code, I play the game on difficult Could've been the GOAT, but I blew it like a piccolo My bitch alone in the bed, she feelin' miserable I got my flaws too, locked inside this dark room And I ain't no photographer, I'm somethin' like a carpenter Full of broken promises, I said I'd build a rocket for Her to fly away in, but she'd never come back Lord knows that she's hard to faze, got a soft spot for her She agitated in this maze, I am lost for words You don't need binoculars to see the monikers Gettin' popular, it feels a bit twisted, word to Oliver Lyin' pathologically, smile at the comedy I only sleep with a song playin' on repeat Tryna do the right thing, I hope that Poppy sees Girl, lovin' you is all I really need Girl, don't be scared of your nightmares You can close your eyes, I'll be right there I ain't perfect, but I'm learnin' The firewood stay burnin' all night And don't give up, things will be alright Come and dance with me like it was prom night It's one-thousand eight-hundred twenty days I count That me and you been playin' house (Yeah) I still remember makin' out on Jenny's couch You gave me one more kiss before you let me out Couldn't spend a day without each other, wouldn't separate Lost in conversation, havin' sex could wait a week or two In my daddy's car, talkin' 'til the sun came up You slept at your mom's, but you'd text me when you wake up Quickly came love, then pain led to breakups You hated it, it made you sick every time I take drugs It's all my fault, over-dramatic, always actin' suicidal You call me on my lies though If love were a religion, you wrote the Bible Wanna grow old together and watch the time go And I would give it all back Before I lost you again, no, I don't want that Just wait for me, let me take my time I'm all yours, baby, rain or shine, yeah Girl, don't be scared of your nightmares You can close your eyes, I'll be right there I ain't perfect, but I'm learnin' The firewood stay burnin' all night And don't give up, things will be alright Come and dance with me like it was prom night It's one-thousand eight-hundred twenty days I count That me and you been playin' house (Yeah) I know the thought of forever is kinda scary But, baby, we should get married Give you a baby you can carry Our love will never be ordinary Can you pour one more Bloody Mary? Can you pour one more Bloody Mary? One more"
